City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
222,Flinders,AU,-34.5833,150.8552,60.19,73,100,7.0,overcast clouds
223,Nkhotakota,MW,-12.9274,34.2961,77.76,74,100,1.43,overcast clouds
224,Billings,US,45.7833,-108.5007,6.51,72,100,12.66,overcast clouds
225,Binzhou,CN,37.3667,118.0167,27.99,45,96,4.72,overcast clouds
226,Batagay,RU,67.6333,134.6333,-39.12,98,38,1.36,scattered clouds
227,Sao filipe,CV,14.8961,-24.4956,77.92,59,40,12.12,scattered clouds
228,Ponta do sol,PT,32.6667,-17.1,72.01,94,99,10.49,light rain
229,Kenai,US,60.5544,-151.2583,1.15,76,40,0.0,haze
230,Cherskiy,RU,68.75,161.3,21.27,73,17,7.0,few clouds
231,Agboville,CI,5.928,-4.2132,78.44,78,31,4.61,scattered clouds
232,Grand gaube,MU,-20.0064,57.6608,77.38,69,78,5.99,broken clouds
233,Mount pleasant,US,32.7941,-79.8626,55.54,48,0,10.36,clear sky
234,Narsaq,GL,60.9167,-46.05,10.62,65,12,8.12,few clouds
235,Port lincoln,AU,-34.7333,135.8667,64.22,74,79,0.81,broken clouds
236,Henties bay,NA,-22.116,14.2845,62.1,92,0,4.94,clear sky
237,Carutapera,BR,-1.195,-46.02,82.27,71,66,7.96,broken clouds
238,Maceio,BR,-9.6658,-35.7353,81.84,65,0,14.97,clear sky
239,Sao joao da barra,BR,-21.6403,-41.0511,73.49,92,100,18.39,moderate rain
240,Seaside,US,36.6111,-121.8516,57.92,73,0,5.99,clear sky
241,Luderitz,NA,-26.6481,15.1594,65.16,80,0,23.06,clear sky
242,Norman wells,CA,65.282,-126.8329,-29.16,75,20,5.75,few clouds
243,Coahuayana,MX,18.7333,-103.6833,86.74,41,0,6.91,clear sky
244,Rennes,FR,48.1667,-1.6667,55.58,94,100,14.97,light intensity drizzle
245,Shingu,JP,33.7333,135.9833,35.67,69,2,7.11,clear sky
246,Celestun,MX,20.8667,-90.4,82.06,66,56,9.53,broken clouds
247,Teya,RU,60.3778,92.6267,-25.92,100,100,1.23,overcast clouds
248,Kasongo-lunda,CD,-6.4667,16.8167,67.87,98,48,1.72,scattered clouds
249,Biak,ID,-0.9131,122.8766,75.9,81,100,2.75,overcast clouds
250,Lompoc,US,34.6391,-120.4579,65.52,53,40,1.99,scattered clouds
251,Ndele,CF,8.4109,20.6473,77.79,23,96,3.78,overcast clouds
252,Bugama,NG,4.7341,6.8635,80.94,76,7,6.98,clear sky
253,Keti bandar,PK,24.1447,67.4497,72.97,57,61,6.6,broken clouds
254,Hervey bay,AU,-25.2986,152.8535,71.49,64,100,17.07,overcast clouds
255,Seoul,KR,37.5683,126.9778,17.04,79,0,1.14,clear sky
256,Tarrafal,CV,15.2833,-23.7667,77.79,77,39,15.75,scattered clouds
257,Ayan,RU,56.45,138.1667,-10.25,73,45,15.95,scattered clouds
258,Praia da vitoria,PT,38.7333,-27.0667,62.85,82,20,18.7,few clouds
259,Praia,CV,14.9215,-23.5087,77.54,61,0,16.11,clear sky
260,Sept-iles,CA,50.2001,-66.3821,36.12,82,100,9.22,snow
261,Dingle,PH,10.9995,122.6711,74.23,94,100,8.5,overcast clouds
262,Dangriga,BZ,16.9692,-88.2321,80.08,71,15,11.52,light rain
263,Shihezi,CN,44.3,86.0333,4.98,95,87,3.06,overcast clouds
264,Pisco,PE,-13.7,-76.2167,78.85,65,0,17.27,clear sky
265,Mayor pablo lagerenza,PY,-19.9309,-60.7718,96.76,26,70,3.98,broken clouds
266,Yayva,RU,59.3303,57.2641,7.18,94,100,9.78,overcast clouds
267,Wodonga,AU,-36.1167,146.8833,49.26,64,0,2.73,clear sky
268,Lata,PT,40.1629,-8.3327,60.08,89,100,11.14,overcast clouds
269,Zaozerne,UA,45.1582,33.2787,32.0,64,1,13.0,clear sky
270,Santa cruz,BO,-17.8,-63.1667,86.05,54,75,8.05,broken clouds
271,Aleksandrovka,UA,46.8383,32.7612,27.0,71,0,5.32,clear sky
272,Ambon,ID,-3.6954,128.1814,77.23,15,20,4.61,few clouds
273,Opuwo,NA,-18.0607,13.84,72.99,37,99,9.17,overcast clouds
274,Blagoyevo,RU,63.3667,47.9167,-3.75,100,97,2.89,overcast clouds
275,Salamiyah,SY,35.0113,37.0532,52.47,49,0,1.14,clear sky
276,Orlik,RU,52.5178,99.825,-20.06,94,15,3.2,few clouds
277,Copiapo,CL,-27.3667,-70.3333,67.69,29,0,11.23,clear sky
278,Analipsis,GR,35.3167,25.5667,61.11,78,94,20.76,overcast clouds
279,Derzhavinsk,KZ,51.1,66.3167,21.09,72,100,19.75,overcast clouds
280,Rangapara,IN,26.8167,92.65,59.16,72,29,4.25,scattered clouds
281,Tasiilaq,GL,65.6145,-37.6368,10.56,55,0,5.41,clear sky
282,Ajijic,MX,20.3,-103.2833,77.95,32,0,1.63,clear sky
283,Margate,GB,51.3813,1.3862,54.88,81,100,11.01,overcast clouds
284,West odessa,US,31.8424,-102.4988,63.81,33,0,16.11,clear sky
285,Davila,PH,18.4726,120.5763,74.39,84,100,26.71,overcast clouds
286,Yar-sale,RU,66.8333,70.8333,-0.27,100,100,8.46,overcast clouds
287,Kachiry,KZ,53.0675,76.1036,26.28,80,100,17.56,overcast clouds
288,Mulege,MX,26.8833,-111.9833,67.12,46,55,12.15,broken clouds
289,Inhambane,MZ,-23.865,35.3833,75.69,84,32,5.88,scattered clouds
290,Beringovskiy,RU,63.05,179.3167,32.11,84,100,25.21,overcast clouds
291,Tam ky,VN,15.5667,108.4833,64.71,90,100,5.79,overcast clouds
292,Georgiyevka,KZ,43.0369,74.7114,24.84,93,100,2.24,fog
293,Hadishahr,AZ,38.8431,45.6635,30.69,66,71,0.45,broken clouds
294,San cristobal,VE,7.7669,-72.225,75.38,46,96,3.8,overcast clouds
295,Honningsvag,NO,70.9821,25.9704,35.35,55,20,13.8,few clouds
296,Calabozo,VE,8.9242,-67.4293,92.73,30,92,9.86,overcast clouds
297,Dingli,MT,35.8614,14.3822,55.81,88,40,2.3,scattered clouds
298,Cabo san lucas,MX,22.8909,-109.9124,78.62,64,20,8.05,few clouds
299,Yongchang,CN,30.0381,119.7317,39.58,64,0,2.01,clear sky
300,Carnot,CF,4.9409,15.8665,77.02,24,52,1.79,broken clouds
301,Dakar,SN,14.6937,-17.4441,81.48,73,0,6.91,clear sky
302,Mukhen,RU,48.1,136.1,-2.72,87,94,8.19,overcast clouds
303,Tenenkou,ML,14.4572,-4.9169,79.56,12,100,10.51,overcast clouds
304,Slave lake,CA,55.2834,-114.769,-18.42,76,100,12.66,light snow
305,Wanning,CN,18.8003,110.3967,65.8,84,100,7.47,overcast clouds
306,Bolkhov,RU,53.4433,36.0044,17.67,83,100,11.61,overcast clouds
307,Walvis bay,NA,-22.9575,14.5053,65.08,94,0,12.66,clear sky
308,Kahului,US,20.8947,-156.47,73.42,82,40,26.46,light rain
309,Fairbanks,US,64.8378,-147.7164,-32.84,70,20,0.0,haze
310,Orizona,BR,-17.0314,-48.2958,74.57,86,99,6.78,light rain
311,Hailey,US,43.5196,-114.3153,15.66,67,0,5.75,clear sky
312,Mandalgovi,MN,45.7625,106.2708,4.23,75,82,22.01,broken clouds
313,Pemba,MZ,-12.974,40.5178,81.3,89,75,16.11,broken clouds
314,Aripuana,BR,-9.1667,-60.6333,79.93,81,100,3.0,overcast clouds
315,Laguna,US,38.421,-121.4238,46.06,84,100,1.01,haze
316,Umm lajj,SA,25.0213,37.2685,77.25,51,0,5.21,clear sky
317,Bone,DE,51.9669,12.1396,40.5,87,100,12.39,overcast clouds
318,Ravar,IR,31.2656,56.8055,44.62,58,6,2.57,clear sky
319,Fort nelson,CA,58.8053,-122.7002,-33.21,68,0,0.0,clear sky
320,Burns lake,CA,54.2331,-125.7533,-20.78,71,11,1.99,few clouds
321,Jiuquan,CN,39.7432,98.5174,15.3,80,100,5.26,overcast clouds
322,Surgut,RU,61.25,73.4167,8.78,84,75,13.42,light shower snow
323,Geraldton,AU,-28.7667,114.6,75.61,53,100,11.5,overcast clouds
324,Yumen,CN,40.2833,97.2,18.48,64,65,25.59,broken clouds
325,Half moon bay,US,37.4636,-122.4286,55.62,79,0,6.91,haze
326,Peniche,PT,39.3558,-9.3811,63.28,92,100,24.81,overcast clouds
327,Zhovti vody,UA,48.3473,33.5003,22.8,90,5,4.54,clear sky
328,Batagay-alyta,RU,67.8006,130.4114,-34.06,96,10,5.06,clear sky
